T,m,r,d
282.41,0.0,0.0,1240.0
284.18,0.0,0.0,1231.0
285.96,0.0,0.0,1223.0
287.74,0.0,0.0,1216.0
289.51,0.0,0.0,1208.0
292.18,0.0,0.0,1196.0
293.98,0.0,0.0,1188.0
295.75,0.0,0.0,1181.0
297.56,0.0,0.0,1172.0
299.34,0.0,0.0,1164.0
301.13,0.0,0.0,1158.0
302.94,0.0,0.0,1149.0
304.73,0.0,0.0,1142.0
306.55,0.0,0.0,1134.0
308.33,0.0,0.0,1127.0
310.14,0.0,0.0,1119.0
311.93,0.0,0.0,1112.0
313.73,0.0,0.0,1105.0
282.77,0.9259853737146045,0.0,1248.0
284.89,0.9259853737146045,0.0,1240.0
287.04,0.9259853737146045,0.0,1230.0
289.22,0.9259853737146045,0.0,1221.0
291.36,0.9259853737146045,0.0,1213.0
293.52,0.9259853737146045,0.0,1203.0
295.69,0.9259853737146045,0.0,1196.0
297.88,0.9259853737146045,0.0,1187.0
300.05,0.9259853737146045,0.0,1177.0
302.22,0.9259853737146045,0.0,1169.0
304.39,0.9259853737146045,0.0,1162.0
306.56,0.9259853737146045,0.0,1155.0
308.76,0.9259853737146045,0.0,1147.0
310.96,0.9259853737146045,0.0,1136.0
313.18,0.9259853737146045,0.0,1129.0
282.55,2.147789387772635,0.0,1291.0
284.67,2.147789387772635,0.0,1284.0
286.82,2.147789387772635,0.0,1277.0
288.96,2.147789387772635,0.0,1270.0
291.12,2.147789387772635,0.0,1261.0
293.28,2.147789387772635,0.0,1253.0
295.47,2.147789387772635,0.0,1245.0
297.6,2.147789387772635,0.0,1237.0
299.77,2.147789387772635,0.0,1231.0
301.92,2.147789387772635,0.0,1225.0
304.11,2.147789387772635,0.0,1218.0
306.31,2.147789387772635,0.0,1209.0
308.45,2.147789387772635,0.0,1201.0
310.6,2.147789387772635,0.0,1193.0
312.81,2.147789387772635,0.0,1186.0
314.95,2.147789387772635,0.0,1179.0
313.27,0.0,0.497954885,1245.0
311.31,0.0,0.497954885,1253.0
309.33,0.0,0.497954885,1261.0
307.37,0.0,0.497954885,1269.0
305.45,0.0,0.497954885,1276.0
303.5,0.0,0.497954885,1286.0
301.54,0.0,0.497954885,1293.0
299.58,0.0,0.497954885,1300.0
297.64,0.0,0.497954885,1308.0
295.7,0.0,0.497954885,1316.0
293.77,0.0,0.497954885,1325.0
291.8,0.0,0.497954885,1331.0
289.86,0.0,0.497954885,1340.0
287.93,0.0,0.497954885,1348.0
286.0,0.0,0.497954885,1355.0
284.07,0.0,0.497954885,1363.0
282.16,0.0,0.497954885,1370.0
283.83,0.8694463044207399,0.5029410198649035,1372.0
285.97,0.8694463044207399,0.5029410198649035,1365.0
288.12,0.8694463044207399,0.5029410198649035,1357.0
290.27,0.8694463044207399,0.5029410198649035,1350.0
292.42,0.8694463044207399,0.5029410198649035,1341.0
294.56,0.8694463044207399,0.5029410198649035,1333.0
296.73,0.8694463044207399,0.5029410198649035,1326.0
298.91,0.8694463044207399,0.5029410198649035,1318.0
301.04,0.8694463044207399,0.5029410198649035,1311.0
303.21,0.8694463044207399,0.5029410198649035,1303.0
305.4,0.8694463044207399,0.5029410198649035,1296.0
307.55,0.8694463044207399,0.5029410198649035,1288.0
309.73,0.8694463044207399,0.5029410198649035,1280.0
311.91,0.8694463044207399,0.5029410198649035,1272.0
314.06,0.8694463044207399,0.5029410198649035,1265.0
313.53,1.9775734966493004,0.5094931320129392,1279.0
311.89,1.9775734966493004,0.5094931320129392,1285.0
310.28,1.9775734966493004,0.5094931320129392,1290.0
308.64,1.9775734966493004,0.5094931320129392,1295.0
307.02,1.9775734966493004,0.5094931320129392,1300.0
305.38,1.9775734966493004,0.5094931320129392,1306.0
303.76,1.9775734966493004,0.5094931320129392,1310.0
302.14,1.9775734966493004,0.5094931320129392,1316.0
300.52,1.9775734966493004,0.5094931320129392,1321.0
298.9,1.9775734966493004,0.5094931320129392,1326.0
297.28,1.9775734966493004,0.5094931320129392,1331.0
295.67,1.9775734966493004,0.5094931320129392,1337.0
294.05,1.9775734966493004,0.5094931320129392,1342.0
292.44,1.9775734966493004,0.5094931320129392,1347.0
290.81,1.9775734966493004,0.5094931320129392,1352.0
289.21,1.9775734966493004,0.5094931320129392,1357.0
287.6,1.9775734966493004,0.5094931320129392,1363.0
285.99,1.9775734966493004,0.5094931320129392,1368.0
284.37,1.9775734966493004,0.5094931320129392,1373.0
282.76,1.9775734966493004,0.5094931320129392,1379.0
313.44,0.0,1.0,1391.0
312.12,0.0,1.0,1396.0
310.82,0.0,1.0,1400.0
309.5,0.0,1.0,1404.0
308.2,0.0,1.0,1409.0
306.89,0.0,1.0,1413.0
305.62,0.0,1.0,1417.0
304.25,0.0,1.0,1422.0
302.94,0.0,1.0,1426.0
301.67,0.0,1.0,1431.0
300.37,0.0,1.0,1435.0
299.04,0.0,1.0,1439.0
297.76,0.0,1.0,1444.0
296.47,0.0,1.0,1448.0
295.17,0.0,1.0,1453.0
293.86,0.0,1.0,1457.0
292.58,0.0,1.0,1462.0
291.29,0.0,1.0,1466.0
289.97,0.0,1.0,1471.0
288.69,0.0,1.0,1474.0
287.39,0.0,1.0,1479.0
286.08,0.0,1.0,1483.0
284.83,0.0,1.0,1488.0
283.56,0.0,1.0,1492.0
282.76,0.7970523233853822,1.0,1489.0
284.36,0.7970523233853822,1.0,1483.0
285.95,0.7970523233853822,1.0,1479.0
287.56,0.7970523233853822,1.0,1473.0
289.16,0.7970523233853822,1.0,1467.0
290.75,0.7970523233853822,1.0,1462.0
292.39,0.7970523233853822,1.0,1456.0
293.99,0.7970523233853822,1.0,1450.0
295.59,0.7970523233853822,1.0,1445.0
297.21,0.7970523233853822,1.0,1439.0
298.82,0.7970523233853822,1.0,1434.0
300.42,0.7970523233853822,1.0,1429.0
302.05,0.7970523233853822,1.0,1423.0
303.66,0.7970523233853822,1.0,1418.0
305.28,0.7970523233853822,1.0,1413.0
306.91,0.7970523233853822,1.0,1408.0
308.5,0.7970523233853822,1.0,1402.0
310.11,0.7970523233853822,1.0,1397.0
311.75,0.7970523233853822,1.0,1391.0
313.37,0.7970523233853822,1.0,1386.0
315.1,1.8137006950504106,1.0,1377.0
313.48,1.8137006950504106,1.0,1382.0
311.86,1.8137006950504106,1.0,1386.0
310.25,1.8137006950504106,1.0,1391.0
308.62,1.8137006950504106,1.0,1396.0
307.01,1.8137006950504106,1.0,1401.0
305.41,1.8137006950504106,1.0,1406.0
303.82,1.8137006950504106,1.0,1410.0
302.22,1.8137006950504106,1.0,1415.0
300.63,1.8137006950504106,1.0,1420.0
299.01,1.8137006950504106,1.0,1425.0
297.42,1.8137006950504106,1.0,1431.0
295.8,1.8137006950504106,1.0,1435.0
294.21,1.8137006950504106,1.0,1440.0
292.59,1.8137006950504106,1.0,1445.0
291.02,1.8137006950504106,1.0,1450.0
289.41,1.8137006950504106,1.0,1455.0
287.85,1.8137006950504106,1.0,1460.0
286.24,1.8137006950504106,1.0,1465.0
284.66,1.8137006950504106,1.0,1471.0
283.08,1.8137006950504106,1.0,1475.0
